Issue,Description,text
Apple Music playlist not syncing across devices,Customer's Apple Music playlists are not syncing across their devices. They reside in Philadelphia and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Music playlist not syncing across devices

###Assistant:
Customer's Apple Music playlists are not syncing across their devices. They reside in Philadelphia and have Verizon Fios as their internet provider."
AirPods not connecting to iPhone,Customer's AirPods Pro purchased in August 2021 are not connecting to their iPhone 12 purchased in November 2022. They live in Phoenix and are connected to the internet via Cox Communications.,"###Human:
generate a detailed description prompt for AirPods not connecting to iPhone

###Assistant:
Customer's AirPods Pro purchased in August 2021 are not connecting to their iPhone 12 purchased in November 2022. They live in Phoenix and are connected to the internet via Cox Communications."
iTunes not recognizing iPhone,Customer's iTunes on their MacBook Pro 16-inch purchased in February 2022 is not recognizing their iPhone 13 Pro Max purchased in September 2023. They are located in Dallas and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iTunes not recognizing iPhone

###Assistant:
Customer's iTunes on their MacBook Pro 16-inch purchased in February 2022 is not recognizing their iPhone 13 Pro Max purchased in September 2023. They are located in Dallas and have AT&T as their internet provider."
MacBook Pro won't turn on,Customer's MacBook Pro 14-inch purchased in June 2023 is not turning on. They reside in Atlanta and are connected to the internet via Xfinity.,"###Human:
generate a detailed description prompt for MacBook Pro won't turn on

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2023 is not turning on. They reside in Atlanta and are connected to the internet via Xfinity."
Safari browser crashing on iPhone,Customer's Safari browser on their iPhone 13 Mini purchased in October 2023 is crashing frequently. They live in Detroit and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for Safari browser crashing on iPhone

###Assistant:
Customer's Safari browser on their iPhone 13 Mini purchased in October 2023 is crashing frequently. They live in Detroit and have Spectrum as their internet provider."
iCloud Drive files missing,Customer reports missing files in their iCloud Drive on their iPhone 12 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider.,"###Human:
generate a detailed description prompt for iCloud Drive files missing

###Assistant:
Customer reports missing files in their iCloud Drive on their iPhone 12 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider."
Apple TV remote not working,Customer's Apple TV HD purchased in September 2021 is experiencing issues with the remote not working properly. They reside in Las Vegas and are connected to the internet via Cox Communications.,"###Human:
generate a detailed description prompt for Apple TV remote not working

###Assistant:
Customer's Apple TV HD purchased in September 2021 is experiencing issues with the remote not working properly. They reside in Las Vegas and are connected to the internet via Cox Communications."
iPhone camera not focusing,Customer's iPhone XR purchased in March 2020 is having trouble focusing the camera. They live in Charlotte and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone camera not focusing

###Assistant:
Customer's iPhone XR purchased in March 2020 is having trouble focusing the camera. They live in Charlotte and have AT&T as their internet provider."
MacBook Pro trackpad not clicking,Customer's MacBook Pro 13-inch purchased in April 2021 is facing issues with the trackpad not clicking consistently. They reside in San Antonio and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro trackpad not clicking

###Assistant:
Customer's MacBook Pro 13-inch purchased in April 2021 is facing issues with the trackpad not clicking consistently. They reside in San Antonio and have Verizon Fios as their internet provider."
iPad Pro screen flickering,Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing screen flickering. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro screen flickering

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is experiencing screen flickering. They are located in Portland and use Comcast as their internet provider."
Apple Music not playing offline,Customer's Apple Music subscription is not allowing them to play songs offline on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music not playing offline

###Assistant:
Customer's Apple Music subscription is not allowing them to play songs offline on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum."
Face ID not working on iPhone,Customer's Face ID on their iPhone 12 Mini purchased in April 2022 is not working properly. They reside in Tampa and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for Face ID not working on iPhone

###Assistant:
Customer's Face ID on their iPhone 12 Mini purchased in April 2022 is not working properly. They reside in Tampa and have Xfinity as their internet provider."
iCloud Photo Library not updating,Customer's iCloud Photo Library on their iPhone 13 Pro purchased in December 2022 is not updating. They are located in Sacramento and use AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iCloud Photo Library not updating

###Assistant:
Customer's iCloud Photo Library on their iPhone 13 Pro purchased in December 2022 is not updating. They are located in Sacramento and use AT&T as their internet provider."
Apple Watch not receiving notifications,Customer's Apple Watch Series 6 purchased in August 2021 is not receiving notifications properly. They live in Pittsburgh and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not receiving notifications

###Assistant:
Customer's Apple Watch Series 6 purchased in August 2021 is not receiving notifications properly. They live in Pittsburgh and have Verizon Fios as their internet provider."
iPhone not ringing for incoming calls,Customer's iPhone 12 Pro purchased in January 2023 is not ringing for incoming calls. They reside in St. Louis and are connected to the internet via Comcast.,"###Human:
generate a detailed description prompt for iPhone not ringing for incoming calls

###Assistant:
Customer's iPhone 12 Pro purchased in January 2023 is not ringing for incoming calls. They reside in St. Louis and are connected to the internet via Comcast."
MacBook Air screen turning black randomly,Customer's MacBook Air M1 purchased in May 2022 is experiencing the screen turning black randomly. They are located in Cincinnati and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Air screen turning black randomly

###Assistant:
Customer's MacBook Air M1 purchased in May 2022 is experiencing the screen turning black randomly. They are located in Cincinnati and use Spectrum as their internet provider."
iPad Pro not charging,Customer's iPad Pro 11-inch purchased in October 2021 is not charging properly. They live in Honolulu and have Hawaiian Telcom as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro not charging

###Assistant:
Customer's iPad Pro 11-inch purchased in October 2021 is not charging properly. They live in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV not connecting to Wi-Fi,Customer's Apple TV 4K purchased in February 2022 is unable to connect to Wi-Fi. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV not connecting to Wi-Fi

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is unable to connect to Wi-Fi. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store purchases not downloading,Customer's iTunes Store purchases are not downloading on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store purchases not downloading

###Assistant:
Customer's iTunes Store purchases are not downloading on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone speaker not working,Customer's iPhone 13 Pro purchased in March 2023 is experiencing issues with the speaker not working. They live in Richmond and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for iPhone speaker not working

###Assistant:
Customer's iPhone 13 Pro purchased in March 2023 is experiencing issues with the speaker not working. They live in Richmond and have Xfinity as their internet provider."
iMessage not syncing across devices,Customer's iMessage is not syncing across their devices. They reside in Oklahoma City and use Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for iMessage not syncing across devices

###Assistant:
Customer's iMessage is not syncing across their devices. They reside in Oklahoma City and use Cox Communications as their internet provider."
MacBook Pro fan running loudly,Customer's MacBook Pro 13-inch purchased in June 2022 is experiencing the fan running loudly. They reside in New Orleans and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro fan running loudly

###Assistant:
Customer's MacBook Pro 13-inch purchased in June 2022 is experiencing the fan running loudly. They reside in New Orleans and have Cox Communications as their internet provider."
iPad Pro apps freezing,Customer's iPad Pro 12.9-inch purchased in April 2022 is facing issues with apps freezing. They are located in Memphis and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro apps freezing

###Assistant:
Customer's iPad Pro 12.9-inch purchased in April 2022 is facing issues with apps freezing. They are located in Memphis and use Comcast as their internet provider."
Apple Music not recognizing subscribed account,Customer's Apple Music subscription is not recognizing their account on their iPhone 11 Pro Max purchased in December 2019. They live in Louisville and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for Apple Music not recognizing subscribed account

###Assistant:
Customer's Apple Music subscription is not recognizing their account on their iPhone 11 Pro Max purchased in December 2019. They live in Louisville and have Spectrum as their internet provider."
AirPods case not charging,Customer reports that their AirPods case purchased in January 2023 is not charging. They reside in Albuquerque and are connected to the internet via CenturyLink.,"###Human:
generate a detailed description prompt for AirPods case not charging

###Assistant:
Customer reports that their AirPods case purchased in January 2023 is not charging. They reside in Albuquerque and are connected to the internet via CenturyLink."
App Store not loading on iPhone,Customer's App Store is not loading on their iPhone XS purchased in May 2021. They live in Buffalo and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for App Store not loading on iPhone

###Assistant:
Customer's App Store is not loading on their iPhone XS purchased in May 2021. They live in Buffalo and have Spectrum as their internet provider."
iPhone overheating during usage,Customer's iPhone 12 purchased in August 2022 is overheating during usage. They are located in Salt Lake City and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone overheating during usage

###Assistant:
Customer's iPhone 12 purchased in August 2022 is overheating during usage. They are located in Salt Lake City and use Comcast as their internet provider."
MacBook Pro battery not charging,Customer's MacBook Pro 15-inch purchased in September 2021 is experiencing issues with the battery not charging. They reside in Baltimore and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro battery not charging

###Assistant:
Customer's MacBook Pro 15-inch purchased in September 2021 is experiencing issues with the battery not charging. They reside in Baltimore and have Verizon Fios as their internet provider."
iPad Pro screen unresponsive to touch,Customer's iPad Pro 12.9-inch purchased in December 2022 is experiencing the screen being unresponsive to touch input. They live in San Jose and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro screen unresponsive to touch

###Assistant:
Customer's iPad Pro 12.9-inch purchased in December 2022 is experiencing the screen being unresponsive to touch input. They live in San Jose and have AT&T as their internet provider."
Apple Watch battery draining quickly,Customer's Apple Watch Series 5 purchased in November 2021 is experiencing rapid battery draining. They are located in Raleigh and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch battery draining quickly

###Assistant:
Customer's Apple Watch Series 5 purchased in November 2021 is experiencing rapid battery draining. They are located in Raleigh and use Spectrum as their internet provider."
MacBook Pro screen flickering,Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing screen flickering. They reside in San Francisco and have Comcast as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro screen flickering

###Assistant:
Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing screen flickering. They reside in San Francisco and have Comcast as their internet provider."
iPad Pro keyboard not working,Customer's iPad Pro 11-inch purchased in September 2021 is facing issues with the keyboard not working. They are located in Denver and use AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro keyboard not working

###Assistant:
Customer's iPad Pro 11-inch purchased in September 2021 is facing issues with the keyboard not working. They are located in Denver and use AT&T as their internet provider."
Apple Music skipping songs,Customer's Apple Music is skipping songs on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music skipping songs

###Assistant:
Customer's Apple Music is skipping songs on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum."
FaceTime calls dropping,Customer's FaceTime calls are dropping frequently on their iPhone 12 purchased in November 2022. They are located in Phoenix and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for FaceTime calls dropping

###Assistant:
Customer's FaceTime calls are dropping frequently on their iPhone 12 purchased in November 2022. They are located in Phoenix and have Cox Communications as their internet provider."
iCloud backup taking too long,Customer's iCloud backup is taking too long to complete on their iPad Air 4 purchased in December 2022. They reside in Houston and are connected to the internet via Verizon.,"###Human:
generate a detailed description prompt for iCloud backup taking too long

###Assistant:
Customer's iCloud backup is taking too long to complete on their iPad Air 4 purchased in December 2022. They reside in Houston and are connected to the internet via Verizon."
Apple Watch not pairing with iPhone,Customer's Apple Watch Series 7 purchased in October 2023 is not pairing with their iPhone 13 purchased in November 2023. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not pairing with iPhone

###Assistant:
Customer's Apple Watch Series 7 purchased in October 2023 is not pairing with their iPhone 13 purchased in November 2023. They live in Los Angeles and have AT&T as their internet provider."
iPhone not connecting to cellular network,Customer's iPhone 11 purchased in May 2021 is not connecting to the cellular network. They are located in Boston and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone not connecting to cellular network

###Assistant:
Customer's iPhone 11 purchased in May 2021 is not connecting to the cellular network. They are located in Boston and use Comcast as their internet provider."
MacBook Pro stuck on Apple logo,Customer's MacBook Pro 14-inch purchased in June 2023 is stuck on the Apple logo during startup. They reside in Atlanta and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro stuck on Apple logo

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2023 is stuck on the Apple logo during startup. They reside in Atlanta and have Xfinity as their internet provider."
iPad Pro charging slowly,Customer's iPad Pro 12.9-inch purchased in November 2021 is charging slowly. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro charging slowly

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is charging slowly. They are located in Portland and use Comcast as their internet provider."
Apple TV remote buttons not responding,Customer's Apple TV HD purchased in September 2021 is experiencing issues with the remote buttons not responding. They reside in Las Vegas and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for Apple TV remote buttons not responding

###Assistant:
Customer's Apple TV HD purchased in September 2021 is experiencing issues with the remote buttons not responding. They reside in Las Vegas and have Cox Communications as their internet provider."
iTunes Store app not available in region,Customer's iTunes Store app is not available in their region on their iPhone 12 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store app not available in region

###Assistant:
Customer's iTunes Store app is not available in their region on their iPhone 12 Pro Max purchased in August 2022. They are located in Minneapolis and use CenturyLink as their internet provider."
iPhone unable to connect to Wi-Fi network,Customer's iPhone SE 2nd Gen purchased in January 2022 is unable to connect to a Wi-Fi network. They live in Houston and are connected to the internet via Verizon.,"###Human:
generate a detailed description prompt for iPhone unable to connect to Wi-Fi network

###Assistant:
Customer's iPhone SE 2nd Gen purchased in January 2022 is unable to connect to a Wi-Fi network. They live in Houston and are connected to the internet via Verizon."
MacBook Pro running slow after macOS update,Customer's MacBook Pro 13-inch purchased in March 2022 is running slow after a macOS update. They reside in Austin and have Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro running slow after macOS update

###Assistant:
Customer's MacBook Pro 13-inch purchased in March 2022 is running slow after a macOS update. They reside in Austin and have Spectrum as their internet provider."
iPad Pro overheating,Customer's iPad Pro 11-inch purchased in April 2022 is overheating. They are located in San Antonio and use Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro overheating

###Assistant:
Customer's iPad Pro 11-inch purchased in April 2022 is overheating. They are located in San Antonio and use Verizon Fios as their internet provider."
Apple TV not showing up on network,Customer's Apple TV 4K purchased in February 2022 is not showing up on the network. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV not showing up on network

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is not showing up on the network. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store purchase history missing,Customer's iTunes Store purchase history is missing on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store purchase history missing

###Assistant:
Customer's iTunes Store purchase history is missing on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone speaker crackling,Customer's iPhone 13 Pro purchased in December 2022 is experiencing speaker crackling. They live in Sacramento and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone speaker crackling

###Assistant:
Customer's iPhone 13 Pro purchased in December 2022 is experiencing speaker crackling. They live in Sacramento and have AT&T as their internet provider."
MacBook Pro trackpad gestures not working,Customer's MacBook Pro 13-inch purchased in April 2021 is experiencing issues with trackpad gestures not working. They reside in San Antonio and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro trackpad gestures not working

###Assistant:
Customer's MacBook Pro 13-inch purchased in April 2021 is experiencing issues with trackpad gestures not working. They reside in San Antonio and have Verizon Fios as their internet provider."
iPad Pro screen rotation not working,Customer's iPad Pro 12.9-inch purchased in November 2021 is facing issues with screen rotation not working. They are located in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro screen rotation not working

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is facing issues with screen rotation not working. They are located in Portland and use Comcast as their internet provider."
Apple Music not downloading songs,Customer's Apple Music is not downloading songs on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for Apple Music not downloading songs

###Assistant:
Customer's Apple Music is not downloading songs on their iPhone 11 Pro purchased in July 2020. They live in Orlando and are connected to the internet via Spectrum."
FaceTime camera not working,Customer's FaceTime camera is not working on their iPhone 12 Mini purchased in April 2022. They reside in Tampa and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for FaceTime camera not working

###Assistant:
Customer's FaceTime camera is not working on their iPhone 12 Mini purchased in April 2022. They reside in Tampa and have Xfinity as their internet provider."
iCloud Drive not syncing with Mac,Customer's iCloud Drive is not syncing with their Macbook Air M1 purchased in May 2022. They are located in Cincinnati and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iCloud Drive not syncing with Mac

###Assistant:
Customer's iCloud Drive is not syncing with their Macbook Air M1 purchased in May 2022. They are located in Cincinnati and use Spectrum as their internet provider."
Apple Watch not updating software,Customer's Apple Watch Series 6 purchased in August 2021 is not updating software. They reside in Pittsburgh and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not updating software

###Assistant:
Customer's Apple Watch Series 6 purchased in August 2021 is not updating software. They reside in Pittsburgh and have Verizon Fios as their internet provider."
iPhone unable to send or receive text messages,Customer's iPhone 12 Pro purchased in January 2023 is unable to send or receive text messages. They are located in St. Louis and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone unable to send or receive text messages

###Assistant:
Customer's iPhone 12 Pro purchased in January 2023 is unable to send or receive text messages. They are located in St. Louis and use Comcast as their internet provider."
MacBook Pro battery draining while asleep,Customer's MacBook Pro 14-inch purchased in June 2022 is experiencing battery draining while asleep. They live in New Orleans and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro battery draining while asleep

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2022 is experiencing battery draining while asleep. They live in New Orleans and have Cox Communications as their internet provider."
iPad Pro touchscreen sensitivity issues,Customer's iPad Pro 11-inch purchased in October 2021 is facing touchscreen sensitivity issues. They are located in Honolulu and have Hawaiian Telcom as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro touchscreen sensitivity issues

###Assistant:
Customer's iPad Pro 11-inch purchased in October 2021 is facing touchscreen sensitivity issues. They are located in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV audio out of sync with video,Customer's Apple TV 4K purchased in February 2022 is experiencing audio out of sync with video. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV audio out of sync with video

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is experiencing audio out of sync with video. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store gift card balance not updating,Customer's iTunes Store gift card balance is not updating on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store gift card balance not updating

###Assistant:
Customer's iTunes Store gift card balance is not updating on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone GPS not working accurately,Customer's iPhone 13 purchased in November 2023 is experiencing GPS not working accurately. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone GPS not working accurately

###Assistant:
Customer's iPhone 13 purchased in November 2023 is experiencing GPS not working accurately. They live in Los Angeles and have AT&T as their internet provider."
MacBook Pro screen not turning on,Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing the screen not turning on. They are located in San Francisco and have Comcast as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro screen not turning on

###Assistant:
Customer's MacBook Pro 16-inch purchased in March 2022 is experiencing the screen not turning on. They are located in San Francisco and have Comcast as their internet provider."
iPad Pro not recognizing Apple Pencil,Customer's iPad Pro 12.9-inch purchased in November 2021 is not recognizing their Apple Pencil. They reside in Portland and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro not recognizing Apple Pencil

###Assistant:
Customer's iPad Pro 12.9-inch purchased in November 2021 is not recognizing their Apple Pencil. They reside in Portland and use Comcast as their internet provider."
Apple Watch not tracking heart rate,Customer's Apple Watch Series 6 purchased in August 2021 is not tracking heart rate. They are located in Pittsburgh and have Verizon Fios as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not tracking heart rate

###Assistant:
Customer's Apple Watch Series 6 purchased in August 2021 is not tracking heart rate. They are located in Pittsburgh and have Verizon Fios as their internet provider."
iCloud email not syncing with Outlook,Customer's iCloud email is not syncing with Outlook on their iPhone 12 Pro Max purchased in August 2022. They reside in Sacramento and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iCloud email not syncing with Outlook

###Assistant:
Customer's iCloud email is not syncing with Outlook on their iPhone 12 Pro Max purchased in August 2022. They reside in Sacramento and have AT&T as their internet provider."
iPhone apps crashing on launch,Customer's iPhone 12 Pro purchased in January 2023 is experiencing apps crashing on launch. They are located in St. Louis and use Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone apps crashing on launch

###Assistant:
Customer's iPhone 12 Pro purchased in January 2023 is experiencing apps crashing on launch. They are located in St. Louis and use Comcast as their internet provider."
MacBook Pro USB ports not working,Customer's MacBook Pro 13-inch purchased in June 2022 is experiencing USB ports not working. They reside in New Orleans and have Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro USB ports not working

###Assistant:
Customer's MacBook Pro 13-inch purchased in June 2022 is experiencing USB ports not working. They reside in New Orleans and have Cox Communications as their internet provider."
iPad Pro not connecting to Bluetooth accessories,Customer's iPad Pro 11-inch purchased in October 2021 is not connecting to Bluetooth accessories. They are located in Honolulu and have Hawaiian Telcom as their internet provider.,"###Human:
generate a detailed description prompt for iPad Pro not connecting to Bluetooth accessories

###Assistant:
Customer's iPad Pro 11-inch purchased in October 2021 is not connecting to Bluetooth accessories. They are located in Honolulu and have Hawaiian Telcom as their internet provider."
Apple TV apps not updating,Customer's Apple TV 4K purchased in February 2022 is experiencing issues with apps not updating. They reside in Milwaukee and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Apple TV apps not updating

###Assistant:
Customer's Apple TV 4K purchased in February 2022 is experiencing issues with apps not updating. They reside in Milwaukee and are connected to the internet via AT&T."
iTunes Store purchase download error,Customer's iTunes Store purchases are encountering download errors on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider.,"###Human:
generate a detailed description prompt for iTunes Store purchase download error

###Assistant:
Customer's iTunes Store purchases are encountering download errors on their MacBook Pro 16-inch purchased in July 2023. They are located in Kansas City and use Spectrum as their internet provider."
iPhone not vibrating for notifications,Customer's iPhone 13 purchased in November 2023 is not vibrating for notifications. They live in Los Angeles and have AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPhone not vibrating for notifications

###Assistant:
Customer's iPhone 13 purchased in November 2023 is not vibrating for notifications. They live in Los Angeles and have AT&T as their internet provider."
MacBook Pro randomly restarting,Customer's MacBook Pro 14-inch purchased in June 2023 is randomly restarting. They reside in Atlanta and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for MacBook Pro randomly restarting

###Assistant:
Customer's MacBook Pro 14-inch purchased in June 2023 is randomly restarting. They reside in Atlanta and have Xfinity as their internet provider."
